,title,price
0,Apple iPhone 13 (128GB) - Midnight,"58,999"
1,Apple iPhone 14 (128 GB) - Midnight,"58,999"
2,Apple iPhone 13 (128GB) - (Product) RED,"54,900"
3,Apple iPhone 14 (128 GB) - Midnight,"58,999"
4,Apple iPhone 14 (128 GB) - Purple,"52,999"
5,Apple iPhone 13 (128GB) - Starlight,"58,999"
6,Apple iPhone 13 (128GB) - Midnight,"58,999"
7,Apple iPhone 15 (128 GB) - Blue,"54,900"
8,Apple iPhone 15 Pro (256 GB) - Natural Titanium,"54,900"
9,Apple iPhone 15 Plus (128 GB) - Black,"72,999"
10,Apple iPhone 15 (256 GB) - Blue,"1,40,990"
11,Apple iPhone 13 (128GB) - Pink,"82,999"
12,Apple iPhone 13 (256GB) - Pink,"83,999"
13,Apple iPhone 15 Pro (128 GB) - Blue Titanium,"52,999"
14,Apple iPhone 15 (128 GB) - Pink,"64,900"
15,Apple iPhone 13 (256GB) - (Product) RED,"1,30,990"
16,Apple iPhone 15 (128 GB) - Black,"72,999"
17,Apple iPhone 13 (128GB) - Green,"64,900"
